category,prefecture,store_name,address,phone
自転車販売店,徳島県,石井町清掃センター,徳島県名西郡石井町石井字石井３０２５－１,088-674-6842
自転車販売店,徳島県,（有）山橋商会,徳島県徳島市二軒屋町３－３９,088-622-0423
自転車販売店,徳島県,（株）あさひサイクルベースあさひ徳島田宮街道店,徳島県徳島市北矢三町３－２－１６,088-634-2150
自転車販売店,徳島県,（株）あさひサイクルベースあさひ徳島店,徳島県徳島市南昭和町１－１１－３,088-602-3822
自転車販売店,徳島県,ＹＯＵＳＨＯＰ　千松,徳島県徳島市南田宮２－７－２２,088-633-3036
自転車販売店,徳島県,徳島市エコステーション,徳島県徳島市城東町２－５－４０,088-621-5202
自転車販売店,徳島県,（株）あさひサイクルベースあさひ　徳島南店,徳島県徳島市大松町榎原外５５－１,088-636-3400
自転車販売店,徳島県,（株）あさひサイクルベースあさひ徳島応神店,徳島県徳島市応神町西貞方字仁徳３０－３,088-683-3140
自転車販売店,徳島県,（有）サイクルメイト土橋,徳島県徳島市福島２－４－１４,088-652-2376
自転車販売店,徳島県,オートランドヨコタ,徳島県阿南市上中町中原３３１,0884-23-3344
