category,prefecture,store_name,address,phone
電気製品販売店・自治体施設等,静岡県,（有）ミキ電化センター本店,静岡県三島市一番町１０－６,055-975-3408
電気製品販売店・自治体施設等,静岡県,（株）イトーヨーカ堂三島店,静岡県三島市中田町９－３０,055-981-6111
電気製品販売店・自治体施設等,静岡県,（株）エディオン三島店,静岡県三島市安久３７５－１,055-984-0950
電気製品販売店・自治体施設等,静岡県,エルイマイ株式会社三島富田町店,静岡県三島市富田町３－６,0559-75-0302
電気製品販売店・自治体施設等,静岡県,下田市清掃センター,静岡県下田市敷根１３－１１,0558-22-6686
電気製品販売店・自治体施設等,静岡県,（株）エディオン下田店,静岡県下田市西中１－１２,0558-22-2112
電気製品販売店・自治体施設等,静岡県,伊東市伊東市役所　環境課,静岡県伊東市大原２－１－１,0557-32-1371
電気製品販売店・自治体施設等,静岡県,伊東市御石ケ沢清掃工場,静岡県伊東市宇佐美３５９６－４,0557-47-2675
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランド伊東店,静岡県伊東市岡和泉７２－１１,0557-32-2200
電気製品販売店・自治体施設等,静岡県,（株）エディオン伊東店,静岡県伊東市鎌田７６７－１,0557-32-5611
電気製品販売店・自治体施設等,静岡県,（株）国際テレビ,静岡県伊豆の国市長岡１３０２,055-947-1289
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランド修善寺店,静岡県伊豆市瓜生野２６２,0558-74-3200
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランド富士宮店,静岡県富士宮市万野原新田３７２８,0544-25-5511
電気製品販売店・自治体施設等,静岡県,（株）ベストさいとうライズさいとう,静岡県富士宮市下条３９０,0544-58-0564
電気製品販売店・自治体施設等,静岡県,（株）エディオンクロスガーデン富士中央店,静岡県富士市中央町３－１３－７クロスガーデン富士中央２階,0545-55-5611
電気製品販売店・自治体施設等,静岡県,（有）ハギワラ,静岡県富士市今泉５３３－１,0545-52-0433
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランド富士店,静岡県富士市川成島６２０－１,0545-66-1331
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭ富士比奈店,静岡県富士市比奈５８７－１６,0545-34-5131
電気製品販売店・自治体施設等,静岡県,ホダカ（株）ホダカ富士店,静岡県富士市蓼原１２１９－３,0545-55-3981
電気製品販売店・自治体施設等,静岡県,コジマ×ビックカメラ富士店２階レジカウンター３階レジカウンター,静岡県富士市蓼原５４－４,0545-65-1511
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭ島田店,静岡県島田市中央町１４－３,0547-34-1300
電気製品販売店・自治体施設等,静岡県,（株）ギガスケーズデンキ島田店,静岡県島田市宝来町８－３,0547-33-1111
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭアットホーム川根店,静岡県島田市川根町身成字北３４１３－１,0547-58-5011
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキベスト電器　島田店,静岡県島田市旗指４８８－１１,0547-37-5931
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭアットホーム金谷店,静岡県島田市金谷泉町８４９－１,0547-47-2300
電気製品販売店・自治体施設等,静岡県,（株）ギガスケーズデンキ御殿場店,静岡県御殿場市ぐみ沢２７,0550-70-0920
電気製品販売店・自治体施設等,静岡県,（株）エディオン御殿場店,静岡県御殿場市川島田８８５－２,0550-81-0500
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭ御殿場店,静岡県御殿場市新橋１５３９－１,0550-83-7730
電気製品販売店・自治体施設等,静岡県,（有）西尾でんきネストにしお,静岡県掛川市城西１－７－１６,0537-23-0221
電気製品販売店・自治体施設等,静岡県,（株）ベイシア電器大東店,静岡県掛川市大坂６０１－１,0537-63-3355
電気製品販売店・自治体施設等,静岡県,（株）ギガスケーズデンキ掛川店,静岡県掛川市大池字十二ノ坪２６２４番地,0537-61-3111
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランド掛川店,静岡県掛川市細田２３１－１,0537-25-6000
電気製品販売店・自治体施設等,静岡県,オオイシテレビ電器店,静岡県掛川市葛川２３８,0537-22-5534
電気製品販売店・自治体施設等,静岡県,沼津市市役所　クリーンセンター,静岡県沼津市上香貫三ノ洞２４１７－１,055-933-0768
電気製品販売店・自治体施設等,静岡県,竹沢電機　駅北店,静岡県沼津市五月町１２－２１,055-921-2959
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭ沼津原町店,静岡県沼津市大塚９７１,055-968-0666
電気製品販売店・自治体施設等,静岡県,コスモス・ベリーズ（株）テレビのイマイ,静岡県沼津市大手町４－６－２,0559-51-6868
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランド沼津店,静岡県沼津市岡宮字寺林１２５０－２,055-920-7211
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭ沼津店,静岡県沼津市本字丸子町７５２－１,055-954-1800
電気製品販売店・自治体施設等,静岡県,コジマ×ビックカメラ沼津店サービスカウンター,静岡県沼津市東熊堂４１０－１,055-926-9800
電気製品販売店・自治体施設等,静岡県,ホダカ（株）ホダカ沼津店,静岡県沼津市西沢田４７９番地,055-929-2570
電気製品販売店・自治体施設等,静岡県,（株）山内電器商会,静岡県浜松市中区西伊場町２１－１０,053-453-2441
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランド浜松中央店,静岡県浜松市中央区中央１－３－２１,053-450-6363
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭ中田島店,静岡県浜松市中央区中田島町６２７－４,053-442-5757
電気製品販売店・自治体施設等,静岡県,ＤＣＭ（株）ＤＣＭ２１浜松店,静岡県浜松市中央区中田町８００,053-466-5711
電気製品販売店・自治体施設等,静岡県,（有）やまむら,静岡県浜松市中央区住吉１丁目２６番１号,053-471-2581
電気製品販売店・自治体施設等,静岡県,（株）ヤマダデンキテックランドイオン浜松西店,静岡県浜松市中央区入野町６２４４－１イオン浜松西店３Ｆ,053-543-5561
電気製品販売店・自治体施設等,静岡県,（株）ギガスケーズデンキ浜松入野店,静岡県浜松市中央区入野町６３５３－１,053-445-1144
