category,prefecture,store_name,address,phone
電気製品販売店・自治体施設等,富山県,（株）ヤマダデンキテックランド入善店,富山県下新川郡入善町上野９００１,0765-74-2600
電気製品販売店・自治体施設等,富山県,ＤＣＭ（株）ＤＣＭ入善店,富山県下新川郡入善町椚山１３３６コスモ２１内,0765-72-2077
電気製品販売店・自治体施設等,富山県,上市町町民課　生活環境班,富山県中新川郡上市町法音寺１,076-472-2315
電気製品販売店・自治体施設等,富山県,立山町環境センター,富山県中新川郡立山町上金剛寺２１０,076-463-0780
電気製品販売店・自治体施設等,富山県,上新電機（株）立山店,富山県中新川郡立山町利田６３３,076-462-2711
電気製品販売店・自治体施設等,富山県,立山町住民課　環境安全係,富山県中新川郡立山町前沢２４４０,076-462-9963
電気製品販売店・自治体施設等,富山県,舟橋村住民生活課,富山県中新川郡舟橋村５５,076-464-1143
電気製品販売店・自治体施設等,富山県,いなば電器,富山県南砺市城端４５２９－４,0763-62-0121
電気製品販売店・自治体施設等,富山県,（株）ラヴィ・マルエイ,富山県南砺市福光７１６６,0763-52-0623
電気製品販売店・自治体施設等,富山県,ニューイングランド　いしだ,富山県南砺市福野１４４９－２,0763-22-2051
電気製品販売店・自治体施設等,富山県,（株）ヤマダデンキテックランド南砺店,富山県南礪市福光２４６－１,0763-55-6018
電気製品販売店・自治体施設等,富山県,（株）谷村電機工業,富山県南礪市荒木５５１５－１,0763-52-0202
電気製品販売店・自治体施設等,富山県,（有）ヤマデンニューイングランドやまでん,富山県南礪市野田１３３０－１０,0763-62-0198
電気製品販売店・自治体施設等,富山県,（株）菊屋電機商会,富山県富山市中市１－９－１,076-423-4516
電気製品販売店・自治体施設等,富山県,ＤＣＭ（株）ＤＣＭ富山大広田店,富山県富山市中田２－１０－２０,076-438-3211
電気製品販売店・自治体施設等,富山県,（有）平野電機,富山県富山市八尾町西町２３０４－１,076-455-3555
電気製品販売店・自治体施設等,富山県,ＤＣＭ（株）ＤＣＭ富山問屋町,富山県富山市問屋町１－９５－６,076-451-8005
電気製品販売店・自治体施設等,富山県,ＤＣＭ（株）ＤＣＭ富山本郷店,富山県富山市堀川本郷１６０－１,076-495-1071
電気製品販売店・自治体施設等,富山県,上新電機（株）富山南店,富山県富山市大町１３７－８,076-495-9101
電気製品販売店・自治体施設等,富山県,ホダカ（株）ホダカ富山店,富山県富山市天正寺１１２２,076-423-3600
電気製品販売店・自治体施設等,富山県,丸二電器商会,富山県富山市太田口通り３－１－９,076-424-8574
電気製品販売店・自治体施設等,富山県,（株）北越ケーズケーズデンキ富山本店,富山県富山市太郎丸本町１－２－１,076-493-1770
電気製品販売店・自治体施設等,富山県,（株）平和堂アルプラザ富山,富山県富山市婦中町下轡田１６５－１,076-466-1800
電気製品販売店・自治体施設等,富山県,ＤＣＭ（株）ＤＣＭ婦中店,富山県富山市婦中町速星１２３－１,076-465-1911
電気製品販売店・自治体施設等,富山県,（株）ヤマダデンキテックランドＮｅｗ富山婦中店,富山県富山市婦中町速星３５－１,076-466-0606
電気製品販売店・自治体施設等,富山県,（株）ヤマダデンキテックランド富山山室店,富山県富山市山室字東田割１８７－１５,076-494-9009
電気製品販売店・自治体施設等,富山県,ゆうらくざ・つじさわ,富山県富山市水橋舘町４０３－４,076-478-2332
