category,prefecture,store_name,address,phone
自転車販売店,群馬県,みどり市大間々庁舎　大間々市民生活課,群馬県みどり市大間々町大間々１５１１,0277-76-1846
自転車販売店,群馬県,みどり市東支所　東市民生活課,群馬県みどり市東町花輪２０５－２,0277-76-0984
自転車販売店,群馬県,みどり市市民部ＳＤＧＳ推進課,群馬県みどり市笠懸町鹿２９５２,0277-76-0985
自転車販売店,群馬県,伊勢崎市殖蓮公民館,群馬県伊勢崎市上植木本町２７６０,0270-26-4560
自転車販売店,群馬県,伊勢崎市南公民館,群馬県伊勢崎市上泉町６１９,0270-26-8333
自転車販売店,群馬県,伊勢崎市名和公民館,群馬県伊勢崎市堀口町４９２,0270-32-0034
自転車販売店,群馬県,伊勢崎市境剛志公民館,群馬県伊勢崎市境下武士８６２－３,0270-74-0168
自転車販売店,群馬県,伊勢崎市境采女公民館,群馬県伊勢崎市境下渕名２０２３－１,0270-76-0013
自転車販売店,群馬県,伊勢崎市境島村公民館,群馬県伊勢崎市境島村２７２０,0270-74-9345
自転車販売店,群馬県,伊勢崎市境東公民館,群馬県伊勢崎市境米岡７６４－１,0270-74-0456
自転車販売店,群馬県,伊勢崎市境公民館,群馬県伊勢崎市境５９８－１,0270-74-5105
自転車販売店,群馬県,伊勢崎市境支所,群馬県伊勢崎市境６３７,0270-74-1111
自転車販売店,群馬県,（株）あさひサイクルベースあさひ伊勢崎店,群馬県伊勢崎市宮子町３２３５,0270-30-1572
自転車販売店,群馬県,伊勢崎市市民サービスセンター宮子,群馬県伊勢崎市宮子町３４０６－３いせさきガーデンズ１Ｆ,0270-20-7000
自転車販売店,群馬県,伊勢崎市絣の郷,群馬県伊勢崎市昭和町１７１２－２,0270-21-6711
自転車販売店,群馬県,伊勢崎市駅前インフォメーションセンター,群馬県伊勢崎市曲輪町８－１,0270-61-8008
自転車販売店,群馬県,伊勢崎市あずま支所,群馬県伊勢崎市東町２６６８－１,0270-62-1131
自転車販売店,群馬県,伊勢崎市三郷公民館,群馬県伊勢崎市波志江町１０２９,0270-23-1952
自転車販売店,群馬県,玉村町クリーンセンター,群馬県佐波郡玉村町大字上福島１５８－１,0270-65-4343
自転車販売店,群馬県,（株）あさひサイクルベースあさひ前橋上小出店,群馬県前橋市上小出３－４０－１,027-210-2200
自転車販売店,群馬県,まひでモーターサイクル,群馬県前橋市南町３－４８－８,027-221-0134
自転車販売店,群馬県,（株）あさひサイクルベースあさひ前橋大友店,群馬県前橋市大友町１－５－７,027-219-3227
自転車販売店,群馬県,吉岡町住民課　住民環境室　環境係,群馬県北群馬郡吉岡町大字下野田５６０,0279-26-2245
自転車販売店,群馬県,中之条町保健センター,群馬県吾妻郡中之条町大字中之条町１０９１,0279-75-8834
自転車販売店,群馬県,嬬恋村住民課,群馬県吾妻郡嬬恋村大字大前１１０,0279-96-0515
自転車販売店,群馬県,東吾妻町町民課,群馬県吾妻郡東吾妻町大字原町１０４６,0279-68-2111
自転車販売店,群馬県,長野原町町民生活課,群馬県吾妻郡長野原町大字長野原１３４０－１,0279-82-2245
自転車販売店,群馬県,太田市外三町広域清掃組合リサイクルプラザ,群馬県太田市細谷町６０４－１,0276-33-7980
自転車販売店,群馬県,（株）あさひサイクルベースあさひ太田店,群馬県太田市飯塚町１６９５－２,0276-60-1190
自転車販売店,群馬県,渋川市市役所　市民環境部　環境森林課,群馬県渋川市石原８０,0279-22-2114
自転車販売店,群馬県,渋川乗物センター　こんどう,群馬県渋川市金井１５８０－１,0279-23-2726
自転車販売店,群馬県,館林衛生施設組合いたくらリサイクルセンター,群馬県邑楽郡板倉町大字板倉３４２７－７,0276-56-4453
自転車販売店,群馬県,カザマサイクル,群馬県館林市大街道１－１５－１,0276-72-2075
自転車販売店,群馬県,館林衛生施設組合たてばやしクリーンセンター,群馬県館林市苗木町２４４７－１９,0276-56-4453
自転車販売店,群馬県,（株）あさひサイクルベースあさひ高崎東店,群馬県高崎市上中居町４９２－１,027-310-3738
