category,prefecture,store_name,address,phone
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランドえびの店,宮崎県えびの市大字大明司字脇ノ下１１８０－２,0984-25-3555
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド串間店,宮崎県串間市西浜１－３－６,0987-55-1000
電気製品販売店・自治体施設等,宮崎県,ミワ電器商会,宮崎県児湯郡都農町大字川北１１４０－２５７,0983-25-4624
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド高鍋店,宮崎県児湯郡高鍋町北高鍋１１０６,0983-32-0200
電気製品販売店・自治体施設等,宮崎県,（有）高鍋電化センター,宮崎県児湯郡高鍋町大字北高鍋１０９１,0983-23-0211
電気製品販売店・自治体施設等,宮崎県,（有）椎電化センター,宮崎県児湯郡高鍋町大字北高鍋５０１５,0983-23-0417
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキベスト電器　高鍋店,宮崎県児湯郡高鍋町大字蚊口浦５５１７－２,0983-23-5711
電気製品販売店・自治体施設等,宮崎県,三股町環境水道課,宮崎県北諸県郡三股町五本松１－１三股町役場,0986-52-9082
電気製品販売店・自治体施設等,宮崎県,三股町一般廃棄物最終処分場,宮崎県北諸県郡三股町大字長田１２３３－１,0986-52-5424
電気製品販売店・自治体施設等,宮崎県,外山電器商会,宮崎県宮崎市吾妻町５１－３,0985-24-4866
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキベスト電器　宮崎西店,宮崎県宮崎市大塚町西ノ原１２９５,0985-62-3714
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド恒久店,宮崎県宮崎市大字恒久７２５,0985-77-5800
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド新宮崎本店家電館,宮崎県宮崎市新別府町土田１６７,0985-35-8560
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド新宮崎本店ＰＣ館,宮崎県宮崎市新別府町城元２５１,0985-35-8572
電気製品販売店・自治体施設等,宮崎県,宮崎市市役所本庁舎,宮崎県宮崎市橘通西１－１－１,0985-21-1762
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキベスト電器　宮崎東店,宮崎県宮崎市浮城町９－２,0985-35-2550
電気製品販売店・自治体施設等,宮崎県,（有）みなと電器,宮崎県宮崎市清武町船引１８０－１,0985-85-0240
電気製品販売店・自治体施設等,宮崎県,（株）日新堂電器店セブンプラザ清武店,宮崎県宮崎市清武町船引２９０,0985-85-0048
電気製品販売店・自治体施設等,宮崎県,（有）小林商会,宮崎県宮崎市矢の先町１３,0985-23-3969
電気製品販売店・自治体施設等,宮崎県,（株）九州ケーズデンキケーズデンキクロスモール花ケ島店,宮崎県宮崎市花ケ島町鴨ノ丸８２６－３,0985-89-5105
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキ家電住まいる館ＹＡＭＡＤＡ宮崎花ヶ島店,宮崎県宮崎市花ヶ島町瀬々町２６００,0985-61-8033
電気製品販売店・自治体施設等,宮崎県,でんかプラザ　マツグチ,宮崎県宮崎市高岡町五町３５１,0985-82-0068
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキベスト電器　小林店,宮崎県小林市堤３００５－７,0984-23-8200
電気製品販売店・自治体施設等,宮崎県,（株）九州ケーズデンキケーズデンキ小林店,宮崎県小林市大字堤字金鳥居３０２６－４,0984-22-0075
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド小林店,宮崎県小林市大字堤２９８５－１,0984-21-0655
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド延岡店,宮崎県延岡市平原町５－１４９２－８,0982-20-0220
電気製品販売店・自治体施設等,宮崎県,やまだ電器,宮崎県延岡市愛宕町１－１－２７,0982-33-2210
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキベスト電器　延岡店,宮崎県延岡市浜町４８２７－１,0982-22-7722
電気製品販売店・自治体施設等,宮崎県,（株）九州ケーズデンキケーズデンキ延岡店,宮崎県延岡市緑ケ丘１－２－２,0982-20-0611
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド日南店,宮崎県日南市吾田西２－１０－２７,0987-55-0030
電気製品販売店・自治体施設等,宮崎県,（株）九州ケーズデンキケーズデンキ日南店,宮崎県日南市吾田西４－６－３１,0987-21-1800
電気製品販売店・自治体施設等,宮崎県,日南市クリーンセンター,宮崎県日南市大字隈谷乙１６７１,0987-27-0255
電気製品販売店・自治体施設等,宮崎県,（株）ミスターマックス日向店,宮崎県日向市大字日知屋１４７９８－１,0982-53-5251
電気製品販売店・自治体施設等,宮崎県,（株）ヤマダデンキテックランド日向店,宮崎県日向市大字財光寺１８６－６,0982-56-0606
電気製品販売店・自治体施設等,宮崎県,（有）サンロード日向店,宮崎県日向市曽根町１－１２７,0982-52-0039
電気製品販売店・自治体施設等,宮崎県,でんきのサンロード財光寺店,宮崎県日向市財光寺１０５－５,0982-54-3541
