category,prefecture,store_name,address,phone
電気製品販売店・自治体施設等,北海道,クメ電器（有）,北海道上川郡上川町南町３９,01658-2-1201
電気製品販売店・自治体施設等,北海道,下川町廃棄物処理場,北海道上川郡下川町北町６３９－２,01655-4-2511
電気製品販売店・自治体施設等,北海道,下川町役場,北海道上川郡下川町幸町６３,01655-4-2511
電気製品販売店・自治体施設等,北海道,（株）肥田商会,北海道上川郡剣淵町西町７－１０,0165-34-2301
電気製品販売店・自治体施設等,北海道,新得町清掃センター,北海道上川郡新得町字新得基線６９,0156-64-6302
電気製品販売店・自治体施設等,北海道,新得町役場　屈足支所,北海道上川郡新得町屈足柏町３,0156-65-2111
電気製品販売店・自治体施設等,北海道,櫻井デンキサービスサンプラザ,北海道上川郡新得町本通南２丁目２６番地ハプセブン,0156-64-5622
電気製品販売店・自治体施設等,北海道,新得町役場,北海道上川郡新得町３条南４－２６,0156-64-0528
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド東神楽店,北海道上川郡東神楽町ひじり野南１条７丁目１番４号,0166-74-8056
電気製品販売店・自治体施設等,北海道,清水町役場,北海道上川郡清水町南四条２－２,0156-67-7555
電気製品販売店・自治体施設等,北海道,（有）デンキショップ　かんの,北海道上川郡清水町南４条７丁目１８－２,0156-62-4366
電気製品販売店・自治体施設等,北海道,清水町役場　御影支所,北海道上川郡清水町御影東１条５－１－１,0156-63-2111
電気製品販売店・自治体施設等,北海道,（有）佐藤電器商会,北海道中川郡中川町字中川３１７－２,01656-7-2065
電気製品販売店・自治体施設等,北海道,幕別町住民福祉部　防災環境課　地域環境係,北海道中川郡幕別町本町１３０－１,0155-54-6601
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ札内店,北海道中川郡幕別町札内共栄町１６３－４,0155-23-1496
電気製品販売店・自治体施設等,北海道,本別町町役場,北海道中川郡本別町北２－４－２,0156-22-8128
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキベスト電器　本別店,北海道中川郡本別町南１－６－３,0156-22-2888
電気製品販売店・自治体施設等,北海道,でんき屋ハシマ,北海道中川郡池田町字西１条８－２,015-572-4130
電気製品販売店・自治体施設等,北海道,池田町役場,北海道中川郡池田町西一条７－１１,015-572-3114
電気製品販売店・自治体施設等,北海道,（株）水本電器商会,北海道中川郡美深町東一条南１－６,01656-2-1305
電気製品販売店・自治体施設等,北海道,豊頃町住民課生活環境係,北海道中川郡豊頃町茂岩本町１２５,015-574-2213
電気製品販売店・自治体施設等,北海道,（有）金見電器,北海道亀田郡七飯町大川６－１－１,0138-65-3734
電気製品販売店・自治体施設等,北海道,（有）篠田商会電器部,北海道亀田郡七飯町大川６－３－１,0138-65-2224
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ八雲店,北海道二海郡八雲町東雲町２０－６,0137-62-3711
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ八雲店,北海道二海郡八雲町東雲町２０－７,0137-65-3100
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ伊達店,北海道伊達市末永町３９－１,0142-22-1496
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド伊達店,北海道伊達市松ヶ枝町６７－７,0142-82-6002
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ伊達インター店,北海道伊達市松ヶ枝町９－９８,0142-23-3196
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ余市店,北海道余市郡余市町黒川町１０－３－３２,0135-23-7800
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ余市店,北海道余市郡余市町黒川町２０－１５－２４,0135-21-2288
電気製品販売店・自治体施設等,北海道,コジマ×ビックカメラ函館店２階レジカウンター、３階レジカウンター,北海道函館市亀田本町５５－８,0138-44-3900
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド函館店,北海道函館市亀田本町６６－５,0138-44-4001
電気製品販売店・自治体施設等,北海道,（株）テーオーリテイリングジャンボイエロー亀田店,北海道函館市亀田町２１－１９,0138-40-2211
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ湯川店,北海道函館市戸倉町２５８,0138-36-6761
電気製品販売店・自治体施設等,北海道,ホダカ（株）ホダカ函館石川店,北海道函館市石川町２２８－１,0138-34-7660
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ石川店,北海道函館市石川町２３１－１,0138-34-3330
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキＴｅｃｃ　ＬＩＦＥ　ＳＥＬＥＣＴ　函館本店,北海道函館市美原２－１４－１,0138-34-3111
電気製品販売店・自治体施設等,北海道,（株）日本一金物店美原店　業務部,北海道函館市美原３－２５－１１,0138-46-0888
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ函館本店,北海道函館市美原３－５２－１,0138-47-8840
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ鍛治店,北海道函館市鍛治２－９－２０,0138-51-8686
電気製品販売店・自治体施設等,北海道,（有）福田電機商会デンキのふくだ,北海道勇払郡安平町追分本町２－２,0145-25-2027
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド北広島店,北海道北広島市中央３－５－３,011-398-9461
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキインターヴィレッジ大曲店,北海道北広島市大曲幸町６－１,011-377-9955
電気製品販売店・自治体施設等,北海道,栄デンキ（株）,北海道北広島市里見町４－１－１,011-373-1088
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ七重浜店,北海道北斗市七重浜４－４１－８,0138-49-9911
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ上磯店,北海道北斗市七重浜７－１２－１,0138-48-6000
電気製品販売店・自治体施設等,北海道,（株）エディオン北見本店,北海道北見市中央三輪１－３７１－９,0157-66-1399
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ三輪店,北海道北見市中央三輪２－３２０－２,0157-66-5611
電気製品販売店・自治体施設等,北海道,富士電機商会富士でんき,北海道北見市北一条東２,0157-23-4510
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ桜町店,北海道北見市桜町６－２－１０,0157-22-7123
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランドＮｅｗ北見店,北海道北見市西三輪６－１－１,0157-66-5570
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ北見店,北海道北見市高栄東町１－１－１,0157-32-8422
電気製品販売店・自治体施設等,北海道,浦幌町役場,北海道十勝郡浦幌町字桜町１５－６,015-576-2114
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ住吉店,北海道千歳市住吉３－３－３,0123-27-1496
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ千歳店,北海道千歳市北信濃８６７－１,0123-25-3592
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ千歳北店,北海道千歳市北信濃８６７番１,0123-49-6622
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド千歳店,北海道千歳市新富１－１－９,0123-24-8600
電気製品販売店・自治体施設等,北海道,（株）デンキのほくせん,北海道千歳市白樺２－４－３,0123-28-1391
電気製品販売店・自治体施設等,北海道,（株）宮川時計電器店,北海道厚岸郡厚岸町港町２－８４,0153-52-3410
電気製品販売店・自治体施設等,北海道,（有）中原電器商会,北海道厚岸郡浜中町茶内本町５４,0153-65-2462
電気製品販売店・自治体施設等,北海道,神恵内村住民課,北海道古宇郡神恵内村大字神恵内村８１－２０神恵内村役場,0135-76-5011
電気製品販売店・自治体施設等,北海道,名寄市リサイクルセンター,北海道名寄市大橋１４０－１,01654-3-2111
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド名寄店,北海道名寄市字徳田９１－１,01654-8-7161
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ名寄店,北海道名寄市徳田８８－１名寄徳田ショップングセンター内,01654-2-2890
電気製品販売店・自治体施設等,北海道,（有）オカベ電器,北海道名寄市西三条南７,01654-2-3023
電気製品販売店・自治体施設等,北海道,スチールサービスセンター金野機械,北海道名寄市西４条北４－１１－８,01654-2-3435
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ名寄店,北海道名寄市豊栄１９６－１１０,01654-2-6500
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ士別店,北海道士別市大通東１９－４６５,0165-22-0077
電気製品販売店・自治体施設等,北海道,（有）わかさ電機,北海道士別市東四条６,0165-22-0220
電気製品販売店・自治体施設等,北海道,佐々木電器,北海道夕張市清水沢３－２,0123-59-6086
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ栗山店,北海道夕張郡栗山町桜丘１－７４－２０,0123-72-7890
電気製品販売店・自治体施設等,北海道,（株）銅道電気,北海道夕張郡由仁町三川旭町２５５,0123-87-3331
電気製品販売店・自治体施設等,北海道,（有）細川商会,北海道天塩郡豊富町大通４,0162-82-1272
電気製品販売店・自治体施設等,北海道,猿払村住民課　生活環境係,北海道宗谷郡猿払村鬼志別西町１７２－１,01635-2-3133
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ室蘭モルエ店,北海道室蘭市中島本町１－１－６,0143-41-5123
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ中島店,北海道室蘭市中島本町１－１０－１,0143-41-6811
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド室蘭店,北海道室蘭市中島町１－２５－１,0143-83-5872
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ寿店,北海道室蘭市寿町２丁目１４番１号,0143-41-5120
電気製品販売店・自治体施設等,北海道,（有）テラヤマ寺山デンキ,北海道室蘭市崎守町１２７－４,0143-59-2237
電気製品販売店・自治体施設等,北海道,（有）コーセー電器,北海道室蘭市絵鞆町２－１５－２８,0143-27-3226
電気製品販売店・自治体施設等,北海道,富良野市市役所　東山支所,北海道富良野市字東山あかしや,0167-27-2121
電気製品販売店・自治体施設等,北海道,富良野市市役所　山部支所,北海道富良野市山部東町７－３１,0167-42-2121
電気製品販売店・自治体施設等,北海道,富良野市市役所,北海道富良野市弥生町１－１,0167-39-2308
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ富良野店,北海道富良野市新富町２－１４,0167-39-1080
電気製品販売店・自治体施設等,北海道,（株）田中電機商会,北海道寿都郡寿都町字大磯町７７,0136-62-2337
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ小樽店,北海道小樽市勝納町７－３,0134-33-8200
電気製品販売店・自治体施設等,北海道,（有）畠山電器,北海道小樽市塩谷１－２４－５,0134-26-1748
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ手宮店,北海道小樽市手宮１－４－１,0134-24-1496
電気製品販売店・自治体施設等,北海道,アークランズ（株）スーパービバホームウイングベイ小樽店,北海道小樽市築港１１－１ウイングベイ小樽１階,0134-20-2111
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランドイオンＮｅｗ小樽店,北海道小樽市築港１１－６イオン小樽店３階,0134-23-8151
電気製品販売店・自治体施設等,北海道,（株）大同商会,北海道小樽市色内１－１５－１３大同ビル２Ｆ,0134-27-2020
電気製品販売店・自治体施設等,北海道,共和町役場,北海道岩内郡共和町南幌似３８－２,0135-73-2011
電気製品販売店・自治体施設等,北海道,共和町小沢出張所,北海道岩内郡共和町小沢９５－２５６,0135-72-1833
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ共和店,北海道岩内郡共和町梨野舞納３３－３,0135-63-1496
電気製品販売店・自治体施設等,北海道,共和町発足出張所,北海道岩内郡共和町発足１４－８,0135-74-3001
電気製品販売店・自治体施設等,北海道,勝戸電器（株）,北海道岩内郡岩内町字万代８－１,0135-62-0436
電気製品販売店・自治体施設等,北海道,共和町前田出張所,北海道岩内郡岩内町字大浜１９－１,0135-62-0827
電気製品販売店・自治体施設等,北海道,岩内町役場,北海道岩内郡岩内町字高台１３４－１,0135-67-7094
電気製品販売店・自治体施設等,北海道,坂上電器商会,北海道岩見沢市上幌向南１条４－１２７２－４,0126-26-1503
電気製品販売店・自治体施設等,北海道,ホットショップアオキ,北海道岩見沢市二条東１－７－１,0126-24-7575
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド岩見沢店,北海道岩見沢市大和二条８－１－１３,0126-32-5001
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ岩見沢店,北海道岩見沢市大和四条７－１７,0126-25-8555
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ岩見沢店,北海道岩見沢市大和１条８－６,0126-22-9900
電気製品販売店・自治体施設等,北海道,磯野商会,北海道岩見沢市志文町三条３－１－２１,0126-22-4614
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ岩見沢東店,北海道岩見沢市２条東１２－１－１,0126-25-8181
電気製品販売店・自治体施設等,北海道,岩見沢市ごみ・環境総合案内所　クリーンエコ　市民環境部　廃棄物対策課,北海道岩見沢市３条西４であえーる岩見沢駐車場ビル１Ｆ,0126-31-1153
電気製品販売店・自治体施設等,北海道,ハラデンキ（株）ハラデンキ本店家電営業部,北海道帯広市大通南１２－６,0155-22-5522
電気製品販売店・自治体施設等,北海道,（株）エディオン帯広本店,北海道帯広市稲田町南９線西１１－１,0155-48-3939
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ稲田店,北海道帯広市稲田町南９線西９－１,0155-49-1101
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ西帯広店,北海道帯広市西二十三条南３－６２－２,0155-37-8161
電気製品販売店・自治体施設等,北海道,（株）エディオン帯広西店,北海道帯広市西二十二条南２－１０－１１,0155-37-1139
電気製品販売店・自治体施設等,北海道,（株）ヤマダデンキテックランド帯広店,北海道帯広市西十三条北１－１－３２,0155-58-1011
電気製品販売店・自治体施設等,北海道,（有）アビコ電化,北海道帯広市西１６条南４－４０－８,0155-33-8868
電気製品販売店・自治体施設等,北海道,（株）デンコードーケーズデンキ帯広店,北海道帯広市西１８条南１丁目４－１,0155-67-5855
電気製品販売店・自治体施設等,北海道,ＤＣＭ（株）ＤＣＭ帯広南町店,北海道帯広市西１８条南２７－１－３４,0155-49-6661
