category,prefecture,store_name,address,phone
自転車販売店,山口県,（株）あさひサイクルベースあさひ下松店,山口県下松市望町２－１２－１５,0833-45-2333
自転車販売店,山口県,（株）あさひサイクルベースあさひ新下関店,山口県下関市綾羅木本町３－１３－１３,083-251-6070
自転車販売店,山口県,橋本モータース（株）,山口県周南市古泉１－８－２０,0834-62-4087
自転車販売店,山口県,（株）あさひサイクルベースあさひ徳山店,山口県周南市岐南町９－１２,0834-33-4311
自転車販売店,山口県,宇部市上宇部ふれあいセンター,山口県宇部市中村２－６－１５,0836-21-1473
自転車販売店,山口県,宇部市常盤ふれあいセンター,山口県宇部市亀浦１－１－５０,0836-22-1455
自転車販売店,山口県,（株）ＹＳＰ宇部ＹＳＰ宇部,山口県宇部市則貞１－３－３６,0836-31-6476
自転車販売店,山口県,宇部市小羽山ふれあいセンター,山口県宇部市北小羽山町２－６－５０,0836-31-3677
自転車販売店,山口県,宇部市厚南ふれあいセンター,山口県宇部市厚南北１－２－２４,0836-41-8155
自転車販売店,山口県,宇部市原ふれあいセンター,山口県宇部市大字妻崎開作字中内濱１９９０,0836-43-1050
自転車販売店,山口県,宇部市小野ふれあいセンター,山口県宇部市大字小野字山根８２９４－４,0836-64-2024
自転車販売店,山口県,宇部市川上ふれあいセンター,山口県宇部市大字川上字小羽山８１－１,0836-35-1150
自転車販売店,山口県,宇部市吉部ふれあいセンター,山口県宇部市大字東吉部字馬場西３３３０－７,0836-68-0001
自転車販売店,山口県,宇部市東岐波ふれあいセンター,山口県宇部市大字東岐波字向山３８２９,0836-58-2098
自転車販売店,山口県,宇部市リサイクルプラザ,山口県宇部市大字沖宇部字沖ノ山５２７２－５,0836-31-5584
自転車販売店,山口県,宇部市宇部市廃棄物対策課,山口県宇部市大字沖宇部字沖ノ山５２７２－６,0836-34-8247
自転車販売店,山口県,宇部市船木ふれあいセンター,山口県宇部市大字船木字中市１７９－１,0836-67-1183
自転車販売店,山口県,宇部市万倉ふれあいセンター,山口県宇部市大字西万倉字宮ノ下１６７２,0836-67-0201
自転車販売店,山口県,宇部市二俣瀬ふれあいセンター,山口県宇部市大字車地字寮ノ河内１７３,0836-62-0068
自転車販売店,山口県,山口市小鯖地域交流センター,山口県山口市下小鯖２５１９,083-927-0050
自転車販売店,山口県,山口市山口総合支所,山口県山口市亀山町２－１,083-934-2731
自転車販売店,山口県,山口市仁保地域交流センター,山口県山口市仁保中郷１０４１,083-929-0411
自転車販売店,山口県,山口市佐山地域交流センター,山口県山口市佐山２７２６－１,083-989-3001
自転車販売店,山口県,山口市吉敷地域交流センター,山口県山口市吉敷佐畑１－４－１,083-922-0668
自転車販売店,山口県,山口市名田島地域交流センター,山口県山口市名田島１２１８－１,083-972-0710
自転車販売店,山口県,山口市嘉川地域交流センター,山口県山口市嘉川４６５１－１,083-989-2001
自転車販売店,山口県,山口市山口市リサイクルプラザ,山口県山口市大内御堀１０４８９－８,083-927-7122
自転車販売店,山口県,山口市山口市環境部　山口市清掃工場２Ｆ,山口県山口市大内御堀４９６,083-941-2185
自転車販売店,山口県,山口市大内地域交流センター,山口県山口市大内矢田北１－１０－１１,083-927-0301
自転車販売店,山口県,山口市大殿地域交流センター,山口県山口市大殿大路１２０－４,083-924-5592
自転車販売店,山口県,山口市宮野地域交流センター,山口県山口市宮野下３０５４,083-928-0234
自転車販売店,山口県,山口市小郡地域交流センター,山口県山口市小郡下郷６０９－１,083-973-0638
自転車販売店,山口県,山口市小郡総合支所,山口県山口市小郡下郷６０９－１,083-973-8136
自転車販売店,山口県,山口市平川地域交流センター,山口県山口市平井１６６５,083-922-0026
自転車販売店,山口県,山陽小野田市須恵地域交流センター,山口県山陽小野田市中央４－４－１,0836-83-3360
自転車販売店,山口県,山陽小野田市埴生地域交流センター,山口県山陽小野田市大字埴生２７５,0836-76-0066
自転車販売店,山口県,山陽小野田市本山地域交流センター,山口県山陽小野田市大字小野田２７５－２,0836-88-2001
自転車販売店,山口県,山陽小野田市環境衛生センター,山口県山陽小野田市大字小野田７５２５－２,0836-83-3651
自転車販売店,山口県,山陽小野田市出合地域交流センター,山口県山陽小野田市大字山野井１１６０１－２０,0836-73-2069
自転車販売店,山口県,山陽小野田市高泊地域交流センター,山口県山陽小野田市大字西高泊２２７４－１,0836-84-1500
自転車販売店,山口県,山陽小野田市厚陽地域交流センター,山口県山陽小野田市大字郡３２２６－１１,0836-74-8400
自転車販売店,山口県,山陽小野田市厚狭地域交流センター,山口県山陽小野田市大字鴨庄９４,0836-72-0507
自転車販売店,山口県,山陽小野田市有帆地域交流センター,山口県山陽小野田市新有帆町１－１,0836-84-4090
自転車販売店,山口県,山陽小野田市役所,山口県山陽小野田市日の出１－１－１,0836-82-1143
自転車販売店,山口県,山陽小野田市高千帆地域交流センター,山口県山陽小野田市日の出３－１１－１１,0836-83-3113
自転車販売店,山口県,山陽小野田市中央図書館,山口県山陽小野田市栄町９－１３,0836-83-2870
自転車販売店,山口県,山陽小野田市小野田地域交流センター,山口県山陽小野田市栄町９－２５,0836-83-2775
自転車販売店,山口県,山陽小野田市赤崎地域交流センター,山口県山陽小野田市赤崎１－１－１,0836-88-0162
自転車販売店,山口県,萩市市民生活部　環境衛生課,山口県萩市大字江向５１０,0838-25-3520
自転車販売店,山口県,（株）あさひサイクルベースあさひ防府店,山口県防府市駅南町４－１１,0835-27-1227
