category,prefecture,store_name,address,phone
電気製品販売店・自治体施設等,大阪府,島本町都市創造部環境課,大阪府三島郡島本町桜井２－１－１,075-962-2863
電気製品販売店・自治体施設等,大阪府,ホビータイム,大阪府三島郡島本町青葉１－１８－１,075-962-3683
電気製品販売店・自治体施設等,大阪府,（株）さくらデンキ,大阪府交野市星田２－２５－１,072-891-4501
電気製品販売店・自治体施設等,大阪府,三晃電業,大阪府八尾市中田４－１０２,072-991-0113
電気製品販売店・自治体施設等,大阪府,ビックカメラ　アリオ八尾店レジカウンター,大阪府八尾市光町２－３アリオ八尾　２Ｆ,072-993-1111
電気製品販売店・自治体施設等,大阪府,（株）イトーヨーカ堂アリオ八尾店,大阪府八尾市光町２－３,072-995-9111
電気製品販売店・自治体施設等,大阪府,（有）パナびーんずほしの,大阪府八尾市八尾木北５－２０３,072-992-4112
電気製品販売店・自治体施設等,大阪府,用和電器商会,大阪府八尾市北本町２－１２－３５,072-922-2686
電気製品販売店・自治体施設等,大阪府,（株）エディオン跡部店,大阪府八尾市南太子堂６－３－４１,072-923-3818
電気製品販売店・自治体施設等,大阪府,上新電機（株）久宝寺店,大阪府八尾市春日町１－４－２８,072-922-4311
電気製品販売店・自治体施設等,大阪府,コーナン商事（株）ホームセンターコーナン外環八尾山本店,大阪府八尾市服部川１－１０１－１,072-943-5401
電気製品販売店・自治体施設等,大阪府,（有）寺下電器,大阪府八尾市末広町１－９－１５,072-922-4450
電気製品販売店・自治体施設等,大阪府,上新電機（株）外環八尾店,大阪府八尾市楽音寺１－９３,072-941-2611
電気製品販売店・自治体施設等,大阪府,（株）関西ケーズデンキケーズデンキアクロスプラザ八尾店,大阪府八尾市都塚４－４５－１,072-990-0150
電気製品販売店・自治体施設等,大阪府,千早赤阪村役場,大阪府南河内郡千早赤阪村大字水分１８０,0721-72-0081
電気製品販売店・自治体施設等,大阪府,太子町役場　環境農林課,大阪府南河内郡太子町大字山田８８＿２Ｆ,0721-98-5522
電気製品販売店・自治体施設等,大阪府,河南町役場,大阪府南河内郡河南町大字白木１３５９－６,0721-93-2500
電気製品販売店・自治体施設等,大阪府,上新電機（株）千里丘店,大阪府吹田市千里丘上５－５,06-6878-9021
電気製品販売店・自治体施設等,大阪府,アークランズ（株）スーパービバホーム吹田千里丘店,大阪府吹田市千里丘北１－２,06-6816-1911
電気製品販売店・自治体施設等,大阪府,三晃社吹田店,大阪府吹田市垂水町１－８－１４,06-6384-4307
電気製品販売店・自治体施設等,大阪府,ロイヤルホームセンター吹田店,大阪府吹田市岸部中２－４－１,06-6330-6551
電気製品販売店・自治体施設等,大阪府,上新電機（株）吹田上新庄店,大阪府吹田市西御旅町６－５,06-4860-7811
電気製品販売店・自治体施設等,大阪府,（株）関西ケーズデンキケーズデンキ岸和田和泉インター店,大阪府和泉市あゆみ野３－３－１,0725-51-3788
電気製品販売店・自治体施設等,大阪府,上新電機（株）和泉中央店,大阪府和泉市いぶき野３－１５－７,0725-50-5011
電気製品販売店・自治体施設等,大阪府,（株）ヤマダデンキ家電住まいる館×ＹＡＭＡＤＡｗｅｂ．ｃｏｍ和泉中央本店,大阪府和泉市いぶき野５－１－３,0725-99-8015
電気製品販売店・自治体施設等,大阪府,アークランズ（株）スーパービバホーム和泉中央店,大阪府和泉市唐国町３－１７－５６,0725-51-0811
電気製品販売店・自治体施設等,大阪府,上新電機（株）光明池店,大阪府和泉市室堂町８２４－３６コムボックス光明池１Ｆ,0725-55-5411
電気製品販売店・自治体施設等,大阪府,四條畷市役所（生活環境課）,大阪府四條畷市中野本町１－１,072-877-2121
電気製品販売店・自治体施設等,大阪府,服部電気（株）,大阪府四條畷市楠公１－１４－４,072-876-5555
電気製品販売店・自治体施設等,大阪府,前川電器,大阪府四條畷市清瀧１７－６,072-878-3707
電気製品販売店・自治体施設等,大阪府,上新電機（株）四條畷イオンモール店,大阪府四條畷市砂４－３－２イオンモール四條畷３Ｆ,072-803-2111
電気製品販売店・自治体施設等,大阪府,（株）ヤマダデンキテックランド泉北堺インター店,大阪府堺市中区平井７７０－１,072-275-5117
電気製品販売店・自治体施設等,大阪府,ロイヤルホームセンター堺店,大阪府堺市中区深井北町６３７－２,072-270-2345
電気製品販売店・自治体施設等,大阪府,ミック深井店,大阪府堺市中区深井北町９５０－９,072-249-8724
電気製品販売店・自治体施設等,大阪府,上新電機（株）アウトレット北花田店,大阪府堺市北区北花田町２－１８５－１,072-255-8100
電気製品販売店・自治体施設等,大阪府,イオンリテール（株）イオン堺北花田店,大阪府堺市北区東浅香山町４－１－１２,072-257-6100
電気製品販売店・自治体施設等,大阪府,（株）今村電機金岡店,大阪府堺市北区金岡町１１３２－１１,072-259-0029
電気製品販売店・自治体施設等,大阪府,上新電機（株）堺中央環状店,大阪府堺市北区長曽根町１９１９－１,072-240-3911
電気製品販売店・自治体施設等,大阪府,（株）関西ケーズデンキケーズデンキ堺中央環状店,大阪府堺市北区黒土町２２３２－３,072-240-3750
電気製品販売店・自治体施設等,大阪府,ＤＣＭ（株）ＤＣＭ泉北原山台店,大阪府堺市南区原山台５－１５－２,072-296-4466
電気製品販売店・自治体施設等,大阪府,上新電機（株）堺インター店,大阪府堺市南区小代７４ホームセンターコーナン２Ｆ,072-292-5311
電気製品販売店・自治体施設等,大阪府,（有）マスダ電気商会,大阪府堺市堺区一条通１１－４,072-232-0323
電気製品販売店・自治体施設等,大阪府,（株）小山電気商会,大阪府堺市堺区新町２－４,072-221-0025
電気製品販売店・自治体施設等,大阪府,コーナン商事（株）ホームセンターコーナン堺店,大阪府堺市堺区石津北町９０－３,072-244-8865
電気製品販売店・自治体施設等,大阪府,（株）関西ケーズデンキケーズデンキ堺遠里小野店,大阪府堺市堺区遠里小野町１－３－１００,072-221-5577
電気製品販売店・自治体施設等,大阪府,（株）ヤマダデンキテックランド堺本店,大阪府堺市東区八下町１－５－１,072-256-5100
電気製品販売店・自治体施設等,大阪府,フォトスマイル北野田,大阪府堺市東区北野田６１０－２８大発マンション１Ｆ,072-237-0822
電気製品販売店・自治体施設等,大阪府,ＤＣＭ（株）ＤＣＭ大美野店,大阪府堺市東区大美野１６７,072-239-6871
電気製品販売店・自治体施設等,大阪府,ライフネット白鷺,大阪府堺市東区白鷺町１丁２１－５,072-285-0927
電気製品販売店・自治体施設等,大阪府,上新電機（株）美原店,大阪府堺市美原区北余部１４０－１,072-369-0911
電気製品販売店・自治体施設等,大阪府,アークランズ（株）スーパービバホーム美原南インター店,大阪府堺市美原区黒山１００８,072-369-7311
電気製品販売店・自治体施設等,大阪府,（株）ヤマダデンキテックランド　ららぽーと堺店,大阪府堺市美原区黒山２２－１ららぽーと堺３Ｆ,072-242-4701
電気製品販売店・自治体施設等,大阪府,（株）関西ケーズデンキケーズデンキ美原店,大阪府堺市美原区黒山７１０－１,072-369-2280
電気製品販売店・自治体施設等,大阪府,（株）イトーヨーカ堂津久野店,大阪府堺市西区下田町２０－１,072-266-7700
電気製品販売店・自治体施設等,大阪府,（有）タカハタデンキ,大阪府堺市西区北条町１－８－７,072-279-1033
電気製品販売店・自治体施設等,大阪府,コーナン商事（株）コーナンＰＲＯ堺インター店,大阪府堺市西区太平寺７１１－１,072-296-1001
電気製品販売店・自治体施設等,大阪府,（株）阪南電化ストアー,大阪府堺市西区浜寺諏訪森町中２－２１８－６,072-261-2746
電気製品販売店・自治体施設等,大阪府,上新電機（株）鳳店,大阪府堺市西区鳳北町９丁５１０,072-262-5711
電気製品販売店・自治体施設等,大阪府,（株）関西ケーズデンキケーズデンキアリオ鳳店,大阪府堺市西区鳳南町３－１９９－１２アリオ鳳２Ｆ,072-260-0261
電気製品販売店・自治体施設等,大阪府,（株）イトーヨーカ堂アリオ鳳店,大阪府堺市西区鳳南町３－１９９－１２,072-274-4111
電気製品販売店・自治体施設等,大阪府,マルシン電器オオトリ店,大阪府堺市西区鳳西町１丁７０－１３,072-265-1668
電気製品販売店・自治体施設等,大阪府,上新電機（株）大東店,大阪府大東市新田旭町２－８,072-870-6711
電気製品販売店・自治体施設等,大阪府,パルウエダ（株）大東店,大阪府大東市深野４－７－２９,072-871-5730
電気製品販売店・自治体施設等,大阪府,コジマ×ビックカメラ大東店１階電池売場、１階契約カウンター,大阪府大東市諸福５－１３－２５,072-869-2144
電気製品販売店・自治体施設等,大阪府,大東市市役所　環境課,大阪府大東市谷川１－１－１,072-872-2181
電気製品販売店・自治体施設等,大阪府,（株）エディオンおおさかでんき上町台店,大阪府大阪市中央区上町１－２６－１１,06-6762-9481
電気製品販売店・自治体施設等,大阪府,ビックカメラなんば店レジカウンター,大阪府大阪市中央区千日前２－１０－１,06-6634-1111
電気製品販売店・自治体施設等,大阪府,Ａｉｒ　ＢＩＣ　ＣＡＭＥＲＡ　大丸心斎橋店レジカウンター,大阪府大阪市中央区心斎橋筋１－７－１大丸心斎橋店南館　２階,06-4708-5160
