category,prefecture,store_name,address,phone
自転車販売店,岐阜県,下呂市下呂クリーンセンター,岐阜県下呂市小川２３９０,0576-26-3397
自転車販売店,岐阜県,垂井町エコドーム,岐阜県不破郡垂井町岩手４２５４,0584-22-1853
自転車販売店,岐阜県,合同会社不破,岐阜県不破郡垂井町２３３８,0584-22-0193
自転車販売店,岐阜県,児玉自転車店,岐阜県不破郡関ケ原町大字関ケ原９０３－１,0584-43-0130
自転車販売店,岐阜県,可児市エコドーム,岐阜県可児市姫ケ丘４－９,0574-62-1111
自転車販売店,岐阜県,（株）あさひサイクルベースあさひ各務原店,岐阜県各務原市小佐野町３－９,058-380-2830
自転車販売店,岐阜県,（有）堀尾ＹＳＰ各務原東,岐阜県各務原市鵜沼南町５－２３３,058-370-5100
自転車販売店,岐阜県,（株）あさひサイクルベースあさひ多治見店,岐阜県多治見市若松町１－２２－１,0572-28-1120
自転車販売店,岐阜県,輪之内町エコドーム,岐阜県安八郡輪之内町中郷新田１５１６,0584-69-5374
自転車販売店,岐阜県,（株）あさひサイクルベースあさひ　岐阜鷺山店,岐阜県岐阜市下土居３－３－１３,058-296-2270
自転車販売店,岐阜県,（株）あさひサイクルベースあさひ岐阜市橋店,岐阜県岐阜市市橋２－８－１０,058-278-5017
自転車販売店,岐阜県,池田町役場　民生部　環境課,岐阜県揖斐郡池田町六之井１４６８－１,0585-45-3111
自転車販売店,岐阜県,池田町北部リサイクルセンター,岐阜県揖斐郡池田町沓井４４９－１,0585-45-0325
自転車販売店,岐阜県,池田町南部リサイクルセンター,岐阜県揖斐郡池田町片山３９０－１,0585-45-9440
自転車販売店,岐阜県,北方町リサイクルセンター,岐阜県本巣郡北方町柱本７００,058-320-1530
自転車販売店,岐阜県,北方町広域働く婦人の家,岐阜県本巣郡北方町芝原中町３－５０,058-323-2500
自転車販売店,岐阜県,北方町役場,岐阜県本巣郡北方町長谷川１－１,058-323-1114
自転車販売店,岐阜県,北方町広域勤労青少年ホーム,岐阜県本巣郡北方町高屋条理２－２２,058-324-2167
自転車販売店,岐阜県,北方町アルテックアリーナ,岐阜県本巣郡北方町高屋石末１－９,058-323-3500
自転車販売店,岐阜県,笠松町総合会館,岐阜県羽島郡笠松町中野２２９,058-387-8432
自転車販売店,岐阜県,笠松町町役場,岐阜県羽島郡笠松町司町１,058-388-1114
自転車販売店,岐阜県,笠松町笠松中央公民館,岐阜県羽島郡笠松町常盤町６,058-388-3231
自転車販売店,岐阜県,笠松町松枝公民館,岐阜県羽島郡笠松町長池２９２,058-387-0156
自転車販売店,岐阜県,笠松町福祉健康センター,岐阜県羽島郡笠松町長池４０８－１,058-388-7171
自転車販売店,岐阜県,西南濃粗大廃棄物処理組合西南濃粗大廃棄物処理センター,岐阜県養老郡養老町有尾６６３,0584-37-2103
