category,prefecture,store_name,address,phone
自転車販売店,長崎県,新上五島町クリーンセンター　リサイクルプラザ,長崎県南松浦郡新上五島町鯛ノ浦郷５－１７０,0959-53-1161
自転車販売店,長崎県,壱岐市クリーンセンター,長崎県壱岐市芦辺町住吉東触７２８－１,0920-45-1115
自転車販売店,長崎県,壱岐市保健環境部　環境衛生課,長崎県壱岐市芦辺町芦辺浦５６２,0920-45-1112
自転車販売店,長崎県,（株）あさひサイクルベースあさひ大村店,長崎県大村市水主町１－９９３－１,0957-48-5080
自転車販売店,長崎県,対馬市上対馬庁舎,長崎県対馬市上対馬町比田勝５７５－１,0920-86-3112
自転車販売店,長崎県,長崎商会,長崎県対馬市上県町佐須奈乙２６８－２,0920-84-2046
自転車販売店,長崎県,対馬市上県行政サービスセンター,長崎県対馬市上県町佐須奈甲５６７－３,0920-84-2311
自転車販売店,長崎県,対馬市市役所厳原庁舎,長崎県対馬市厳原町国分１４４１,0920-53-6111
自転車販売店,長崎県,対馬市峰行政サービスセンター,長崎県対馬市峰町三根４５１,0920-83-0301
自転車販売店,長崎県,対馬市美津島行政サービスセンター,長崎県対馬市美津島町鶏知甲５５０－２,0920-54-2271
自転車販売店,長崎県,対馬市市役所豊玉庁舎,長崎県対馬市豊玉町仁位３８０,0920-58-1111
自転車販売店,長崎県,平戸市市民生活部　市民課　生活環境班,長崎県平戸市岩の上町１５０８－３平戸市役所,0950-22-4111
自転車販売店,長崎県,北松北部環境組合北松北部クリーンセンター,長崎県平戸市田平町下寺免１３１８,0950-26-1300
自転車販売店,長崎県,時津クリーンセンター,長崎県西彼杵郡時津町日並郷２６３７－１,095-882-3089
自転車販売店,長崎県,時津町役場　福祉部・住民環境課,長崎県西彼杵郡時津町浦郷２７４－１,095-865-6097
自転車販売店,長崎県,ムラセ自転車商会,長崎県西彼杵郡長与町嬉里郷４５６－１０,095-883-1579
自転車販売店,長崎県,長与町町役場　住民福祉部　住民環境課,長崎県西彼杵郡長与町嬉里郷６５９－１,095-883-1111
自転車販売店,長崎県,クリーンパーク長与,長崎県西彼杵郡長与町斉藤郷１０７３,095-865-6477
自転車販売店,長崎県,長与・時津環境施設組合管理課,長崎県西彼杵郡長与町斉藤郷１０７３,095-865-9386
