category,prefecture,store_name,address,phone
自転車販売店,鹿児島県,いちき串木野市市役所　串木野環境センター,鹿児島県いちき串木野市冠嶽１０６６０,0996-32-2388
自転車販売店,鹿児島県,北薩広域行政事務組合リサイクルセンターエコリア北薩,鹿児島県出水市野田町上名６４９９－９,0996-84-4111
自転車販売店,鹿児島県,長島町役場　指江支所,鹿児島県出水郡長島町指江７８７,0996-86-1153
自転車販売店,鹿児島県,長島町役場　介護環境課,鹿児島県出水郡長島町鷹巣１８７５－１,0996-86-1153
自転車販売店,鹿児島県,南九州市川辺清掃センター,鹿児島県南九州市川辺町上山田４５０１,0993-57-2810
自転車販売店,鹿児島県,谷山モータース,鹿児島県大島郡和泊町和泊１２０７,0997-92-0180
自転車販売店,鹿児島県,喜界町喜界町クリーンセンター,鹿児島県大島郡喜界町湾６２５－１,0997-65-3341
自転車販売店,鹿児島県,指宿広域市町村圏組合指宿広域クリーンセンター,鹿児島県指宿市十二町４６９２－１,0993-22-3303
自転車販売店,鹿児島県,指宿市市役所指宿庁舎　環境政策課,鹿児島県指宿市十町２４２４,0993-22-2111
自転車販売店,鹿児島県,指宿市市役所山川庁舎　常設収集所,鹿児島県指宿市山川新生町３６－１,0993-34-1111
自転車販売店,鹿児島県,指宿市市役所開聞十庁舎　常設収集所,鹿児島県指宿市開聞十町２８６７,0993-32-3111
自転車販売店,鹿児島県,オートショップクマモト,鹿児島県曽於市末吉町二之方１９６３－４,0986-76-1633
自転車販売店,鹿児島県,山下モータース,鹿児島県枕崎市千代田町１０７,0993-72-0668
自転車販売店,鹿児島県,ＹＯＵ　ＳＨＯＰ　ちしき,鹿児島県薩摩川内市平佐町３７３４－２２,0996-22-2817
自転車販売店,鹿児島県,サイクルこだま,鹿児島県薩摩川内市東向田町３－９,0996-23-2233
自転車販売店,鹿児島県,さつま町役場　町民環境課,鹿児島県薩摩郡さつま町宮之城屋地１５６５－２,0996-24-8928
自転車販売店,鹿児島県,さつま町役場　薩摩支所,鹿児島県薩摩郡さつま町求名１２８３７,0996-26-1384
自転車販売店,鹿児島県,さつま町クリーンセンター,鹿児島県薩摩郡さつま町湯田２７３４－８,0996-53-3111
自転車販売店,鹿児島県,さつま町役場　鶴田支所,鹿児島県薩摩郡さつま町神子６６３－１,0996-26-1430
自転車販売店,鹿児島県,阿久根市役所　大川出張所,鹿児島県阿久根市大川８２１９,0996-74-0001
自転車販売店,鹿児島県,大前モータース,鹿児島県阿久根市波留５８８－１４,0996-72-2472
自転車販売店,鹿児島県,阿久根市役所　三笠支所,鹿児島県阿久根市脇本７３６３,0996-75-0002
自転車販売店,鹿児島県,阿久根市役所　環境水産課,鹿児島県阿久根市鶴見町２００,0996-73-1219
自転車販売店,鹿児島県,霧島市市民環境部　環境衛生課,鹿児島県霧島市国分中央３－４５－１,0995-64-0961
自転車販売店,鹿児島県,（有）瀬戸口近代車商会,鹿児島県霧島市国分中央５－３－１７,0995-45-0558
自転車販売店,鹿児島県,霧島市敷根清掃センター,鹿児島県霧島市国分敷根２２５６－１,0995-46-2868
自転車販売店,鹿児島県,（有）トミハラ商事じてんしゃのトミハラ本店　電動アシスト自転車売場,鹿児島県鹿児島市平之町８－１,099-226-0430
