category,prefecture,store_name,address,phone
自転車販売店,福井県,上平モータース（株）,福井県丹生郡越前町平等３－４－１,0778-36-0206
自転車販売店,福井県,勝山市市役所　市民課　生活環境係　窓口,福井県勝山市元町１－１－１,0779-88-8104
自転車販売店,福井県,（有）菊川商会,福井県大野市元町１１－３,0779-66-2139
自転車販売店,福井県,大野・勝山地区広域行政事務組合管理棟１階事務所,福井県大野市南新在家２８－１,0779-66-6690
自転車販売店,福井県,大野市くらし環境部　環境・水循環課,福井県大野市天神町１－１,0779-66-1111
自転車販売店,福井県,大野市和泉地域交流センター,福井県大野市朝日２５－５,0779-78-2111
自転車販売店,福井県,敦賀市市民生活部　清掃センター,福井県敦賀市櫛川８８－１－２,0770-21-1153
自転車販売店,福井県,福井市役所　市民生活部　環境事務所　収集資源センター,福井県福井市南江守町２－１,0776-35-0052
自転車販売店,福井県,（株）あさひサイクルベースあさひ福井北店,福井県福井市大和田１－１４０８,0776-52-5095
自転車販売店,福井県,（有）島田モータース,福井県福井市大宮３－１４－９,0776-26-3555
自転車販売店,福井県,（株）あさひサイクルベースあさひ福井西店,福井県福井市若杉１－３１１３,0776-32-5253
自転車販売店,福井県,モト・スペースアキモト,福井県福井市長本町１１１,0776-53-5413
