category,prefecture,store_name,address,phone
自転車販売店,鳥取県,日南町清掃センター,鳥取県日野郡日南町下石見１９７１,0859-83-1153
自転車販売店,鳥取県,日南町役場　環境エネルギー課,鳥取県日野郡日南町霞８００,0859-82-1717
自転車販売店,鳥取県,日野町役場　建設水道課,鳥取県日野郡日野町根雨１０１,0859-72-0350
自転車販売店,鳥取県,日野町役場　黒坂支所,鳥取県日野郡日野町黒坂１２４３－１,0859-74-0212
自転車販売店,鳥取県,江府町役場,鳥取県日野郡江府町大字江尾１７１７－１,0859-75-3223
自転車販売店,鳥取県,ＹＯＵＳＨＯＰ　モトバイクマツモト,鳥取県米子市旗ケ崎７－１－４１,0859-24-4033
自転車販売店,鳥取県,（株）あさひサイクルベースあさひ米子店,鳥取県米子市皆生４－１１－１６,0859-37-2795
自転車販売店,鳥取県,南部町町役場　天萬庁舎,鳥取県西伯郡南部町天萬５５８,0859-64-3781
自転車販売店,鳥取県,南部町町役場,鳥取県西伯郡南部町法勝寺３７７－１,0859-66-3114
自転車販売店,鳥取県,（株）あさひサイクルベースあさひ鳥取店,鳥取県鳥取市緑ヶ丘３－２１－５,0857-36-8660
